初句,二句,三句,四句,結句,感情:嬉しい,感情:面白い,感情:穏やか,感情:しみじみ,感情:寂しい,感情:怒り,初句の音節数,二句の音節数,三句の音節数,四句の音節数,五句の音節数,合計音節数,タグ:日常,タグ:人間関係,タグ:仕事,タグ:人生,タグ:家族,タグ:恋愛,タグ:旅行,タグ:自然,タグ:時事
青空へ,わたしはろくろっ,くび伸びて,くちづけしたし,野鳥のきみと,4.5,5.5,5.5,3.75,1,1,,,,,,,0,0,0,0,0,0,0,1,0
,,,,山本,7,4,4,2,1,1,,,,,,,,,,,,,,,
,,,,海原,6,5,5,6,1,1,,,,,,,,,,,,,,,
,,,,山下,2,6,6,5,1,1,,,,,,,,,,,,,,,
,,,,大氏,3,7,7,2,1,1,,,,,,,,,,,,,,,
ついてない,びっくりするほど,ついてない,ほんとにあるの？ , あたしにあした,1,4,1.75,1.25,4,7,,,,,,,0,0,0,1,0,0,0,0,0
,,,,山本,1,1,1,2,7,6,,,,,,,,,,,,,,,
,,,,海原,1,1,1,1,3,9,,,,,,,,,,,,,,,
,,,,山下,1,7,3,1,1,9,,,,,,,,,,,,,,,
,,,,大氏,1,7,2,1,5,4,,,,,,,,,,,,,,,
この煙草,あくまであなた,吸ったのね,そのとき口紅,つけていたのね,1,2.25,2.25,1.25,5.5,9,,,,,,,1,1,0,0,0,1,0,0,0
,,,,山本,1,3,2,2,7,10,,,,,,,,,,,,,,,
,,,,海原,1,3,1,1,3,10,,,,,,,,,,,,,,,
,,,,山下,1,2,3,1,4,7,,,,,,,,,,,,,,,
,,,,大氏,1,1,3,1,8,9,,,,,,,,,,,,,,,
目が合った,あなたは去った,軽蔑に,致死量がある,ことがわかった,1,1,1,2,9.75,3.5,,,,,,,0,1,0,0,0,0,0,0,0
,,,,山本,1,1,1,3,9,6,,,,,,,,,,,,,,,
,,,,海原,1,1,1,3,10,4,,,,,,,,,,,,,,,
,,,,山下,1,1,1,1,10,3,,,,,,,,,,,,,,,
,,,,大氏,1,1,1,1,10,1,,,,,,,,,,,,,,,
覇気のない,ドラえもんには,適当な,悩みを言って,あげたりしなきゃ,2.25,4.75,4.75,2.25,4.25,1.25,,,,,,,1,0,0,0,0,0,0,0,0
,,,,山本,3,5,4,5,3,2,,,,,,,,,,,,,,,
,,,,海原,2,5,4,2,4,1,,,,,,,,,,,,,,,
,,,,山下,1,1,3,1,9,1,,,,,,,,,,,,,,,
,,,,大氏,3,8,8,1,1,1,,,,,,,,,,,,,,,
子には子の,電車来るべし,「白菜の,内側でお待ち,下さい」と言ふ,3.5,6.25,6.5,2.75,1,1,,,,,,,1,0,0,0,1,0,1,0,0
,,,,山本,7,8,4,3,1,1,,,,,,,,,,,,,,,
,,,,海原,4,8,6,4,1,1,,,,,,,,,,,,,,,
,,,,山下,2,7,7,2,1,1,,,,,,,,,,,,,,,
,,,,大氏,1,2,9,2,1,1,,,,,,,,,,,,,,,
誤植あり。,中野駅徒歩,十二年。,それでいいかも,しれないけれど,2.75,9.25,6.75,4,1.25,1,,,,,,,0,0,0,0,0,0,0,0,0
,,,,山本,2,9,6,5,1,1,,,,,,,,,,,,,,,
,,,,海原,3,8,7,5,2,1,,,,,,,,,,,,,,,
,,,,山下,2,10,7,1,1,1,,,,,,,,,,,,,,,
,,,,大氏,4,10,7,5,1,1,,,,,,,,,,,,,,,
「凍る、燃える、,凍る、燃える」と,占いの,花びら毟る,宇宙飛行士,1.25,5.5,1.75,2.5,4.5,1.25,,,,,,,0,0,1,1,0,0,0,0,0
,,,,山本,1,7,2,2,8,2,,,,,,,,,,,,,,,
,,,,海原,2,8,1,2,1,1,,,,,,,,,,,,,,,
,,,,山下,1,6,1,4,4,1,,,,,,,,,,,,,,,
,,,,大氏,1,1,3,2,5,1,,,,,,,,,,,,,,,
あの虹を,無視したら撃て,あの虹に,立ち止まったら,撃つなゴジラを,2,6.25,1.5,1.5,1.25,2,,,,,,,0,0,0,0,0,0,0,0,0
,,,,山本,3,8,2,3,2,4,,,,,,,,,,,,,,,
,,,,海原,3,7,1,1,1,2,,,,,,,,,,,,,,,
,,,,山下,1,1,1,1,1,1,,,,,,,,,,,,,,,
,,,,大氏,1,9,2,1,1,1,,,,,,,,,,,,,,,
Ｂ型の,不足を叫ぶ,青年が,血のいれものと,して僕を見る,1.5,5.5,2.5,2.5,5,4.75,,,,,,,0,0,0,0,0,0,0,0,0
,,,,山本,2,8,4,4,6,6,,,,,,,,,,,,,,,
,,,,海原,2,5,2,1,4,5,,,,,,,,,,,,,,,
,,,,山下,1,1,1,3,1,2,,,,,,,,,,,,,,,
,,,,大氏,1,8,3,2,9,6,,,,,,,,,,,,,,,
つむじ風、,ここにあります,菓子パンの,袋がそっと,教えてくれる,5.5,6.25,7.75,4.25,1.75,1,,,,,,,1,0,0,0,0,0,0,1,0
,,,,山本,10,8,8,7,1,1,,,,,,,,,,,,,,,
,,,,海原,4,5,7,4,2,1,,,,,,,,,,,,,,,
,,,,山下,1,7,6,1,1,1,,,,,,,,,,,,,,,
,,,,大氏,7,5,10,5,3,1,,,,,,,,,,,,,,,
モノクロの,写真でいつか,見た人が,われに微笑む,お盆の夜に,6.25,2.75,6.75,7.25,6,1,,,,,,,0,1,0,0,1,0,0,0,0
,,,,山本,6,3,8,10,8,1,,,,,,,,,,,,,,,
,,,,海原,5,2,8,6,8,1,,,,,,,,,,,,,,,
,,,,山下,6,1,3,9,6,1,,,,,,,,,,,,,,,
,,,,大氏,8,5,8,4,2,1,,,,,,,,,,,,,,,
ごろごろと,石の貨幣を,ころがして,君に届けた,前前前……世,4.75,4,5.25,6.25,3,1,,,,,,,0,1,0,1,0,1,0,0,0
,,,,山本,8,8,4,5,1,1,,,,,,,,,,,,,,,
,,,,海原,5,3,6,7,3,1,,,,,,,,,,,,,,,
,,,,山下,3,3,5,6,1,1,,,,,,,,,,,,,,,
,,,,大氏,3,2,6,7,7,1,,,,,,,,,,,,,,,
グリズリーに,跳ねあげられた,紅鮭の,片方の眼に, 映る夕虹,2,1.5,5,5.25,4.75,1.25,,,,,,,0,0,0,0,0,0,0,1,0
,,,,山本,3,2,5,8,7,1,,,,,,,,,,,,,,,
,,,,海原,2,1,4,5,6,1,,,,,,,,,,,,,,,
,,,,山下,1,1,6,3,2,1,,,,,,,,,,,,,,,
,,,,大氏,2,2,5,5,4,2,,,,,,,,,,,,,,,
だいじょうぶ,急ぐ旅では,ないのだし,急いでないし,旅でもないし,3.5,4.75,8.75,4.5,2.25,1,,,,,,,0,0,0,1,0,0,0,0,0
,,,,山本,8,7,8,6,1,1,,,,,,,,,,,,,,,
,,,,海原,4,2,8,4,3,1,,,,,,,,,,,,,,,
,,,,山下,1,4,9,1,1,1,,,,,,,,,,,,,,,
,,,,大氏,1,6,10,7,4,1,,,,,,,,,,,,,,,
牛乳が,逆からあいて,いて笑う,ふつうの女のコを,ふつうに好きだ,7.5,8.5,6.75,2,1,1,,,,,,,1,0,0,0,0,1,0,0,0
,,,,山本,10,9,6,1,1,1,,,,,,,,,,,,,,,
,,,,海原,8,7,6,2,1,1,,,,,,,,,,,,,,,
,,,,山下,7,10,8,1,1,1,,,,,,,,,,,,,,,
,,,,大氏,5,8,7,4,1,1,,,,,,,,,,,,,,,
海に来れば,海の向こうに,恋人が,いるようにみな,海を見ている,4.75,5.5,7,8,6,1,,,,,,,0,1,0,0,0,1,0,1,0
,,,,山本,8,10,4,7,6,1,,,,,,,,,,,,,,,
,,,,海原,5,5,8,7,7,1,,,,,,,,,,,,,,,
,,,,山下,3,4,8,9,3,1,,,,,,,,,,,,,,,
,,,,大氏,3,3,8,9,8,1,,,,,,,,,,,,,,,
突然に,コーラを吸って,生き絶えた,ティッシュの死骸を,抱えて走る,1.25,8.75,2,1.25,1.25,3,,,,,,,1,0,0,0,0,0,0,0,0
,,,,山本,2,8,2,2,2,6,,,,,,,,,,,,,,,
,,,,海原,1,8,2,1,1,1,,,,,,,,,,,,,,,
,,,,山下,1,9,2,1,1,1,,,,,,,,,,,,,,,
,,,,大氏,1,10,2,1,1,4,,,,,,,,,,,,,,,
友達と,遊んでいると,何でかな,盛り上がるほど,なんか悲しい,2.75,3,4.5,7.75,8.5,1,,,,,,,1,1,0,0,0,0,0,0,0
,,,,山本,2,6,6,7,10,1,,,,,,,,,,,,,,,
,,,,海原,6,3,4,7,8,1,,,,,,,,,,,,,,,
,,,,山下,1,1,3,8,8,1,,,,,,,,,,,,,,,
,,,,大氏,2,2,5,9,8,1,,,,,,,,,,,,,,,
君からの,ありがとうの,一言で,僕の心は, お祭り騒ぎ,10,4.5,3.75,1.75,1,1,,,,,,,1,1,0,0,0,1,0,0,0
,,,,山本,10,10,4,2,1,1,,,,,,,,,,,,,,,
,,,,海原,10,3,2,1,1,1,,,,,,,,,,,,,,,
,,,,山下,10,2,3,1,1,1,,,,,,,,,,,,,,,
,,,,大氏,10,3,6,3,1,1,,,,,,,,,,,,,,,
自転車の,サドルについた,水滴が,引き留めてくる,まだ行かないでと,2.5,7.25,6,4.75,3.25,1,,,,,,,1,0,0,0,0,0,0,0,0
,,,,山本,3,8,6,7,2,1,,,,,,,,,,,,,,,
,,,,海原,4,6,6,2,2,1,,,,,,,,,,,,,,,
,,,,山下,1,8,7,2,4,1,,,,,,,,,,,,,,,
,,,,大氏,2,7,5,8,5,1,,,,,,,,,,,,,,,
君の背で,風にたなびく,ゼッケンが,ギリシャ彫刻,みたいな朝,4.5,5.5,7,4.5,1.25,1,,,,,,,1,0,0,0,0,0,0,0,0
,,,,山本,8,8,7,7,1,1,,,,,,,,,,,,,,,
,,,,海原,5,3,4,2,1,1,,,,,,,,,,,,,,,
,,,,山下,2,6,8,4,1,1,,,,,,,,,,,,,,,
,,,,大氏,3,5,9,5,2,1,,,,,,,,,,,,,,,
授業中,方程式を,解きながら,ノートの隅に, 記す君の名,6,3.5,6,4.75,1.5,1,,,,,,,1,1,0,0,0,1,0,0,0
,,,,山本,8,8,5,4,1,1,,,,,,,,,,,,,,,
,,,,海原,7,2,6,3,1,1,,,,,,,,,,,,,,,
,,,,山下,3,1,6,7,1,1,,,,,,,,,,,,,,,
,,,,大氏,6,3,7,5,3,1,,,,,,,,,,,,,,,
君といた、,十三ヶ月に , ｢あの頃｣と,題名つけて,壁に飾る日,3,1.5,7,9.25,8.75,1,,,,,,,0,1,0,0,0,1,0,0,0
,,,,山本,3,3,8,10,10,1,,,,,,,,,,,,,,,
,,,,海原,4,1,7,8,7,1,,,,,,,,,,,,,,,
,,,,山下,4,1,4,10,8,1,,,,,,,,,,,,,,,
,,,,大氏,1,1,9,9,10,1,,,,,,,,,,,,,,,
忘れ物,取りに戻った,教室は,いつもと違う,無音の空間,3,3.25,6.5,8,9,1,,,,,,,1,0,0,0,0,0,0,0,0
,,,,山本,7,9,6,8,8,1,,,,,,,,,,,,,,,
,,,,海原,3,2,6,8,9,1,,,,,,,,,,,,,,,
,,,,山下,1,1,7,6,9,1,,,,,,,,,,,,,,,
,,,,大氏,1,1,7,10,10,1,,,,,,,,,,,,,,,
レギュラーを,外れた僕に,温かい,母のシチューが,湯気たてている,7,3.25,7.25,8,3.75,1.5,,,,,,,1,1,0,0,1,0,0,0,0
,,,,山本,8,5,8,9,4,2,,,,,,,,,,,,,,,
,,,,海原,6,2,7,5,1,1,,,,,,,,,,,,,,,
,,,,山下,8,1,7,9,5,1,,,,,,,,,,,,,,,
,,,,大氏,6,5,7,9,5,2,,,,,,,,,,,,,,,
ねえ桜、,なんで隠れて,いたんだい,君の季節は,去ったというのに,4.25,3.75,8,8.5,5.25,1,,,,,,,0,0,0,0,0,0,1,1,0
,,,,山本,8,9,8,9,2,1,,,,,,,,,,,,,,,
,,,,海原,4,2,8,8,5,1,,,,,,,,,,,,,,,
,,,,山下,4,3,8,8,7,1,,,,,,,,,,,,,,,
,,,,大氏,1,1,8,9,7,1,,,,,,,,,,,,,,,
祖母よりも,包丁うまく,使えても,桃を切ってと,祖母に甘える,5.5,5.25,8.25,5.25,3,1,,,,,,,1,1,0,0,1,0,0,0,0
,,,,山本,8,9,6,4,1,1,,,,,,,,,,,,,,,
,,,,海原,4,1,8,4,2,1,,,,,,,,,,,,,,,
,,,,山下,6,2,9,7,7,1,,,,,,,,,,,,,,,
,,,,大氏,4,9,10,6,2,1,,,,,,,,,,,,,,,
車窓から,夜景を見ている,帰り道,自分も誰かの,夜景の一部で,4.5,5,7.5,7.5,3.75,1,,,,,,,1,0,0,1,0,0,1,1,0
,,,,山本,6,10,8,7,3,1,,,,,,,,,,,,,,,
,,,,海原,4,2,5,8,6,1,,,,,,,,,,,,,,,
,,,,山下,2,3,8,8,1,1,,,,,,,,,,,,,,,
,,,,大氏,6,5,9,7,5,1,,,,,,,,,,,,,,,
あの曲を,聞けばあの頃,思い出す,今の私は,どの曲だろう,4,4.75,7.5,8.25,3,1,,,,,,,1,0,0,1,0,0,0,0,0
,,,,山本,7,9,8,7,3,1,,,,,,,,,,,,,,,
,,,,海原,3,2,5,7,3,1,,,,,,,,,,,,,,,
,,,,山下,1,1,8,9,2,1,,,,,,,,,,,,,,,
,,,,大氏,5,7,9,10,4,1,,,,,,,,,,,,,,,
コンパスを,1周回し,ぴったりと,線合う時の,軽い快感,8.75,7.25,6,2,1.25,1,,,,,,,1,0,0,0,0,0,0,0,0
,,,,山本,10,9,4,4,2,1,,,,,,,,,,,,,,,
,,,,海原,8,7,7,2,1,1,,,,,,,,,,,,,,,
,,,,山下,9,8,9,1,1,1,,,,,,,,,,,,,,,
,,,,大氏,8,5,4,1,1,1,,,,,,,,,,,,,,,
団結と,縛る鎖の,端持って,ぷらんぷらんと,縄跳び跳ぼう,3,4.25,3.5,2.5,2.5,2.5,,,,,,,1,1,0,0,0,0,0,0,0
,,,,山本,2,1,3,3,7,7,,,,,,,,,,,,,,,
,,,,海原,5,6,4,3,1,1,,,,,,,,,,,,,,,
,,,,山下,2,7,5,2,1,1,,,,,,,,,,,,,,,
,,,,大氏,3,3,2,2,1,1,,,,,,,,,,,,,,,
「久しぶり,ちっちゃくなった？」は ,常套句,さん付けはもう,懐かしい春,5.5,5.25,8.25,8,4.5,1.75,,,,,,,0,1,0,0,0,0,0,0,0
,,,,山本,7,8,7,6,2,1,,,,,,,,,,,,,,,
,,,,海原,8,2,9,9,6,1,,,,,,,,,,,,,,,
,,,,山下,1,6,8,8,8,4,,,,,,,,,,,,,,,
,,,,大氏,6,5,9,9,2,1,,,,,,,,,,,,,,,
怠いから,やめてしまった,告白を,ソーダに混ぜて,空に流した,1.75,1.5,4.5,7,7,2.5,,,,,,,0,1,0,0,0,1,0,0,0
,,,,山本,2,2,5,7,8,7,,,,,,,,,,,,,,,
,,,,海原,2,2,4,8,6,1,,,,,,,,,,,,,,,
,,,,山下,1,1,4,6,7,1,,,,,,,,,,,,,,,
,,,,大氏,2,1,5,7,7,1,,,,,,,,,,,,,,,
何色に,染まればいいか,わからない,私を置いて,いく空の青さよ,2.5,2.5,7,6.75,6,1,,,,,,,1,0,0,1,0,0,0,1,0
,,,,山本,4,3,7,8,3,1,,,,,,,,,,,,,,,
,,,,海原,4,2,8,7,5,1,,,,,,,,,,,,,,,
,,,,山下,1,1,8,8,8,1,,,,,,,,,,,,,,,
,,,,大氏,1,4,5,4,8,1,,,,,,,,,,,,,,,
目が合って,ニコッとされて,目をそらす,そらしたことを,後悔してる,6.25,2.5,4.75,5,4.75,3.75,,,,,,,1,1,0,0,0,1,0,0,0
,,,,山本,7,3,5,6,9,7,,,,,,,,,,,,,,,
,,,,海原,10,4,6,8,1,1,,,,,,,,,,,,,,,
,,,,山下,4,1,6,2,2,1,,,,,,,,,,,,,,,
,,,,大氏,4,2,2,4,7,6,,,,,,,,,,,,,,,
背伸びして,届かなかった,身長も,今では見える,母の白い髪,5.75,3.5,6.25,8.25,3.75,1,,,,,,,1,1,0,1,1,0,0,0,0
,,,,山本,8,6,6,8,3,1,,,,,,,,,,,,,,,
,,,,海原,7,2,5,8,3,1,,,,,,,,,,,,,,,
,,,,山下,3,1,7,8,3,1,,,,,,,,,,,,,,,
,,,,大氏,5,5,7,9,6,1,,,,,,,,,,,,,,,
知ってるよ,あなたが誰に,対しても,優しかったり,することぐらい,4.75,1,3,3.25,8.25,4.5,,,,,,,0,1,0,0,0,1,0,0,0
,,,,山本,7,1,2,3,9,7,,,,,,,,,,,,,,,
,,,,海原,5,1,4,3,7,3,,,,,,,,,,,,,,,
,,,,山下,2,1,3,3,9,5,,,,,,,,,,,,,,,
,,,,大氏,5,1,3,4,8,3,,,,,,,,,,,,,,,
君からの,「会いたい」だけで,モノクロな,僕の世界は,すぐに色づく,9.25,2.25,5,3.75,1,1,,,,,,,1,1,0,0,0,1,0,0,0
,,,,山本,10,5,7,7,1,1,,,,,,,,,,,,,,,
,,,,海原,9,2,3,2,1,1,,,,,,,,,,,,,,,
,,,,山下,8,1,6,3,1,1,,,,,,,,,,,,,,,
,,,,大氏,10,1,4,3,1,1,,,,,,,,,,,,,,,
ぴこんぴこん,いらない通知は,響くのに,今日も鳴らない,君のアイコン,1.25,1,2.75,5,9.75,2,,,,,,,1,1,0,0,0,1,0,0,0
,,,,山本,1,1,3,6,10,1,,,,,,,,,,,,,,,
,,,,海原,2,1,3,5,10,1,,,,,,,,,,,,,,,
,,,,山下,1,1,3,2,9,3,,,,,,,,,,,,,,,
,,,,大氏,1,1,2,7,10,3,,,,,,,,,,,,,,,
なんでだよ,デートも旅行も,雨ばっか,フラれたときだけ,真っ青な空,1,1,1.75,3.25,8.25,9.25,,,,,,,0,1,0,0,0,1,0,0,0
,,,,山本,1,1,1,1,10,10,,,,,,,,,,,,,,,
,,,,海原,1,1,3,4,8,9,,,,,,,,,,,,,,,
,,,,山下,1,1,1,2,6,10,,,,,,,,,,,,,,,
,,,,大氏,1,1,2,6,9,8,,,,,,,,,,,,,,,
もう知らない,二度と彼氏は,作らない」, 「おんなじセリフ,聞いたの四度目,1.5,6.75,4,1.75,2.25,2.75,,,,,,,0,1,0,0,0,1,0,0,0
,,,,山本,1,8,3,3,2,6,,,,,,,,,,,,,,,
,,,,海原,3,6,4,2,3,1,,,,,,,,,,,,,,,
,,,,山下,1,8,7,1,1,1,,,,,,,,,,,,,,,
,,,,大氏,1,5,2,1,3,3,,,,,,,,,,,,,,,
振り返り,笑顔のあなたと,目があった,この一瞬が,続けばいいのに,8.5,3,6.25,3.75,4.25,1,,,,,,,0,1,0,0,0,1,0,0,0
,,,,山本,10,7,6,2,4,1,,,,,,,,,,,,,,,
,,,,海原,8,2,6,4,1,1,,,,,,,,,,,,,,,
,,,,山下,10,1,8,2,4,1,,,,,,,,,,,,,,,
,,,,大氏,6,2,5,7,8,1,,,,,,,,,,,,,,,
赤い糸,旅立つ朝に,結んだの,何処へ行っても,ほどけないよう,5.5,2.5,6,5.25,5.25,1,,,,,,,0,1,0,0,0,1,0,0,0
,,,,山本,7,4,3,5,8,1,,,,,,,,,,,,,,,
,,,,海原,7,2,8,3,1,1,,,,,,,,,,,,,,,
,,,,山下,4,1,6,6,3,1,,,,,,,,,,,,,,,
,,,,大氏,4,3,7,7,9,1,,,,,,,,,,,,,,,
無我夢中,ジグソーパズル,千ピース,あいつを忘れ,徹夜で完成,7,6.5,2.5,2.75,3.75,4,,,,,,,1,1,0,0,0,1,0,0,0
,,,,山本,10,10,6,7,1,1,,,,,,,,,,,,,,,
,,,,海原,7,5,2,1,1,1,,,,,,,,,,,,,,,
,,,,山下,5,5,1,2,8,6,,,,,,,,,,,,,,,
,,,,大氏,6,6,1,1,5,8,,,,,,,,,,,,,,,
楽しげに,金魚を掬う,君の目の,灯りゆらゆら,心も揺れて,7,4,7.5,5.75,2,1,,,,,,,0,1,0,0,0,1,0,0,0
,,,,山本,8,9,8,8,2,1,,,,,,,,,,,,,,,
,,,,海原,6,2,6,2,3,1,,,,,,,,,,,,,,,
,,,,山下,6,1,7,4,1,1,,,,,,,,,,,,,,,
,,,,大氏,8,4,9,9,2,1,,,,,,,,,,,,,,,
授業中,ただ眺めてる,横顔を,ノート真っ白い,ままチャイム鳴る,4.5,4.25,7,5,4.75,1,,,,,,,1,1,0,0,0,1,0,0,0
,,,,山本,7,6,6,7,9,1,,,,,,,,,,,,,,,
,,,,海原,7,6,8,1,1,1,,,,,,,,,,,,,,,
,,,,山下,3,4,6,4,2,1,,,,,,,,,,,,,,,
,,,,大氏,1,1,8,8,7,1,,,,,,,,,,,,,,,
送られて,傘を外れた,別れ際,あなたの肩が,右だけ濡れてた,7.25,2.5,6,7.25,2.5,1,,,,,,,1,1,0,0,0,1,0,0,0
,,,,山本,10,7,8,7,1,1,,,,,,,,,,,,,,,
,,,,海原,8,1,7,6,1,1,,,,,,,,,,,,,,,
,,,,山下,5,1,4,8,4,1,,,,,,,,,,,,,,,
,,,,大氏,6,1,5,8,4,1,,,,,,,,,,,,,,,
好きなのに,好きだと言えぬ,もどかしさ,いつになったら,いえるのかな,3.75,2.5,4.5,6.75,5,2.75,,,,,,,1,1,0,0,0,1,0,0,0
,,,,山本,6,7,5,6,2,7,,,,,,,,,,,,,,,
,,,,海原,7,1,6,7,3,1,,,,,,,,,,,,,,,
,,,,山下,1,1,3,6,6,2,,,,,,,,,,,,,,,
,,,,大氏,1,1,4,8,9,1,,,,,,,,,,,,,,,
〝落ちてたよ〟, 君が拾って,くれたから,文字も記憶も, 消せない消しゴム,8.25,4,6,7.25,3.5,1,,,,,,,1,1,0,0,0,1,0,0,0
,,,,山本,10,8,6,6,1,1,,,,,,,,,,,,,,,
,,,,海原,8,2,6,7,3,1,,,,,,,,,,,,,,,
,,,,山下,7,3,7,9,6,1,,,,,,,,,,,,,,,
,,,,大氏,8,3,5,7,4,1,,,,,,,,,,,,,,,
左手を,独り占めする,帰り道,赤くなってる,あなたを見ながら,9.25,3.5,7.25,4.75,1,1,,,,,,,1,1,0,0,0,1,0,0,0
,,,,山本,10,8,7,7,1,1,,,,,,,,,,,,,,,
,,,,海原,8,1,8,4,1,1,,,,,,,,,,,,,,,
,,,,山下,9,1,6,2,1,1,,,,,,,,,,,,,,,
,,,,大氏,10,4,8,6,1,1,,,,,,,,,,,,,,,
バレンタイン,後輩たちから, 囲まれる,あいつを私は,見てるだけ,1.75,2,2.75,3.75,7,5.25,,,,,,,1,1,0,0,0,1,0,0,0
,,,,山本,3,5,3,3,2,8,,,,,,,,,,,,,,,
,,,,海原,2,1,2,1,9,5,,,,,,,,,,,,,,,
,,,,山下,1,1,2,4,8,1,,,,,,,,,,,,,,,
,,,,大氏,1,1,4,7,9,7,,,,,,,,,,,,,,,
黄昏時,二人を照らす,影一つ,二つの心,すきま風,1.5,1.25,4.5,6.5,8.5,3.25,,,,,,,1,1,0,0,0,1,0,0,0
,,,,山本,1,1,2,5,9,6,,,,,,,,,,,,,,,
,,,,海原,2,1,3,4,8,3,,,,,,,,,,,,,,,
,,,,山下,1,2,6,8,8,1,,,,,,,,,,,,,,,
,,,,大氏,2,1,7,9,9,3,,,,,,,,,,,,,,,
あなたの目,映っているのは, あの子の笑顔,そこに私は,いないから,1,1,3.5,7,9,2,,,,,,,1,1,0,0,0,1,0,0,0
,,,,山本,1,1,3,6,8,1,,,,,,,,,,,,,,,
,,,,海原,1,1,4,6,10,2,,,,,,,,,,,,,,,
,,,,山下,1,1,4,6,8,2,,,,,,,,,,,,,,,
,,,,大氏,1,1,3,10,10,3,,,,,,,,,,,,,,,
距離だけは,近づいたのに,遠いまま,あなたの心と,私の心,1.5,1.75,2.75,6.5,8.75,2,,,,,,,1,1,0,0,0,1,0,0,0
,,,,山本,1,4,4,4,8,1,,,,,,,,,,,,,,,
,,,,海原,3,1,3,4,9,2,,,,,,,,,,,,,,,
,,,,山下,1,1,3,8,8,1,,,,,,,,,,,,,,,
,,,,大氏,1,1,1,10,10,4,,,,,,,,,,,,,,,
隣席の,「忘れ物した」,心の中で,ガッツポーズ,したのばれてないよね？,9.5,5.75,3.5,1.5,1.25,1,,,,,,,1,1,0,0,0,1,0,0,0
,,,,山本,10,6,2,2,2,1,,,,,,,,,,,,,,,
,,,,海原,9,7,1,1,1,1,,,,,,,,,,,,,,,
,,,,山下,9,3,8,1,1,1,,,,,,,,,,,,,,,
,,,,大氏,10,7,3,2,1,1,,,,,,,,,,,,,,,
反対の,ホームに立った,キミとボク,時の電車が,いま引き裂いた,1.75,1.5,2.75,3.5,8.25,4,,,,,,,1,1,0,0,0,1,0,0,0
,,,,山本,4,3,3,4,7,5,,,,,,,,,,,,,,,
,,,,海原,1,1,1,1,8,3,,,,,,,,,,,,,,,
,,,,山下,1,1,4,2,8,3,,,,,,,,,,,,,,,
,,,,大氏,1,1,3,7,10,5,,,,,,,,,,,,,,,
千回を,越えて通いし,老人ホーム,ひなたぼっこの,思い出ばかり,4,4.25,8.75,8.5,6,1,,,,,,,1,0,0,1,0,0,0,0,0
,,,,山本,3,6,8,8,8,1,,,,,,,,,,,,,,,
,,,,海原,6,3,10,9,3,1,,,,,,,,,,,,,,,
,,,,山下,4,6,9,8,4,1,,,,,,,,,,,,,,,
,,,,大氏,3,2,8,9,9,1,,,,,,,,,,,,,,,
千年も,万年も生く,この亀に,優しい人と,記憶されたい,3.75,5.25,7.5,6.5,3,1,,,,,,,1,0,0,1,0,0,0,0,0
,,,,山本,5,7,9,9,5,1,,,,,,,,,,,,,,,
,,,,海原,3,2,7,8,3,1,,,,,,,,,,,,,,,
,,,,山下,3,5,5,3,2,1,,,,,,,,,,,,,,,
,,,,大氏,4,7,9,6,2,1,,,,,,,,,,,,,,,
千冊の,哲学書より,なほわれを,大人にしたり,君との別れ,2.75,3.25,4.25,8,9.75,1,,,,,,,1,1,0,1,0,0,0,0,0
,,,,山本,7,7,7,6,10,1,,,,,,,,,,,,,,,
,,,,海原,1,1,3,7,9,1,,,,,,,,,,,,,,,
,,,,山下,2,4,4,9,10,1,,,,,,,,,,,,,,,
,,,,大氏,1,1,3,10,10,1,,,,,,,,,,,,,,,
夕光を,使ひ切るまで,影を連れ,一人刈り行く,千枚田かな,1.75,2.5,6.25,8,9.25,1,,,,,,,1,0,1,1,0,0,0,1,0
,,,,山本,3,6,7,7,10,1,,,,,,,,,,,,,,,
,,,,海原,1,1,3,8,9,1,,,,,,,,,,,,,,,
,,,,山下,1,1,7,8,8,1,,,,,,,,,,,,,,,
,,,,大氏,2,2,8,9,10,1,,,,,,,,,,,,,,,
千年後,夢のかけらの,宇宙ゴミが,土星のように,輪になる地球,3,4.75,2.25,5.75,4.25,3.25,,,,,,,0,0,0,0,0,0,0,1,0
,,,,山本,4,8,3,3,5,1,,,,,,,,,,,,,,,
,,,,海原,6,2,3,9,2,1,,,,,,,,,,,,,,,
,,,,山下,1,1,1,4,5,7,,,,,,,,,,,,,,,
,,,,大氏,1,8,2,7,5,4,,,,,,,,,,,,,,,
千年を,越えて私を,かき乱す,期末テストの,光源氏よ,1.75,8.75,4.75,2.5,1.25,7.75,,,,,,,1,0,0,0,0,0,0,0,0
,,,,山本,3,8,4,4,1,8,,,,,,,,,,,,,,,
,,,,海原,2,7,3,4,2,6,,,,,,,,,,,,,,,
,,,,山下,1,10,7,1,1,8,,,,,,,,,,,,,,,
,,,,大氏,1,10,5,1,1,9,,,,,,,,,,,,,,,
千羽鶴、,千人針も,役立たぬ,そんな事皆,わかっていたのだ,1.25,3.25,2.75,5,5.5,3.75,,,,,,,0,0,0,0,0,0,0,0,1
,,,,山本,2,5,4,4,3,7,,,,,,,,,,,,,,,
,,,,海原,1,6,2,2,5,1,,,,,,,,,,,,,,,
,,,,山下,1,1,1,5,9,4,,,,,,,,,,,,,,,
,,,,大氏,1,1,4,9,5,3,,,,,,,,,,,,,,,
